uno	id	pw	name	gender	birth	seatcount
1	user001	user001!1953	김지원	2	1953-06-12	23
2	user002	user002!1981	이승우	1	1981-08-25	0
3	user003	user003!1967	박지은	2	1967-04-05	5
4	user004	user004!1996	최영재	1	1996-11-18	23
5	user005	user005!1978	정수진	2	1978-09-23	13
6	user006	user006!1956	유재석	1	1956-12-30	12
7	user007	user007!2003	송지효	2	2003-07-17	4
8	user008	user008!1989	임영미	2	1989-02-20	1
9	user009	user009!1964	오정현	2	1964-10-10	17
10	user010	user010!1972	김동욱	1	1972-03-29	24
11	user011	user011!1998	이지원	2	1998-05-14	6
12	user012	user012!1955	박지훈	1	1955-08-08	12
13	user013	user013!1969	임수진	2	1969-01-03	24
14	user014	user014!1987	황진영	2	1987-11-27	24
15	user015	user015!1976	정지영	1	1976-09-01	25
16	user016	user016!1962	이민호	1	1962-12-15	5
17	user017	user017!2007	강지민	2	2007-06-20	19
18	user018	user018!1992	신혜선	2	1992-04-02	2
19	user019	user019!1959	장진우	1	1959-10-28	13
20	user020	user020!1985	문지원	1	1985-07-11	10
21	user021	user021!1990	한지연	2	1990-08-24	25
22	user022	user022!1974	이상민	1	1974-02-09	24
23	user023	user023!1960	김수진	2	1960-11-21	5
24	user024	user024!1979	정승호	1	1979-03-16	1
25	user025	user025!2000	임진우	1	2000-05-30	23
26	user026	user026!1966	손지연	2	1966-07-24	1
27	user027	user027!1971	유현우	1	1971-04-19	7
28	user028	user028!1983	박영진	1	1983-08-12	9
29	user029	user029!1995	신유진	2	1995-01-05	18
30	user030	user030!1954	김민지	2	1954-12-28	20
31	user031	user031!2005	장지원	2	2005-03-09	24
32	user032	user032!1970	황지민	2	1970-09-14	3
33	user033	user033!1993	이승현	1	1993-06-27	14
34	user034	user034!1980	최지수	2	1980-10-31	2
35	user035	user035!1957	박진영	1	1957-04-25	2
36	user036	user036!1968	임지혜	2	1968-01-19	12
37	user037	user037!1997	김영재	1	1997-05-23	19
38	user038	user038!1973	최정원	2	1973-08-14	16
39	user039	user039!1982	이지윤	2	1982-11-06	5
40	user040	user040!1965	박정수	1	1965-12-03	8
41	user041	user041!2001	강수진	2	2001-07-08	2
42	user042	user042!1958	김진현	2	1958-03-12	9
43	user043	user043!1991	정지훈	1	1991-09-28	10
44	user044	user044!1988	박지유	2	1988-06-16	0
45	user045	user045!1977	최정민	2	1977-11-30	12
46	user046	user046!1963	임지수	2	1963-01-13	8
47	user047	user047!2004	김승현	1	2004-08-02	23
48	user048	user048!1961	이지민	2	1961-05-22	13
49	user049	user049!1986	정지원	1	1986-10-17	17
50	user050	user050!1975	박민지	2	1975-06-09	2
51	user051	user051!1999	정수현	2	1999-09-04	19
52	user052	user052!1964	송영호	1	1964-03-17	25
53	user053	user053!1989	임지영	2	1989-11-11	17
54	user054	user054!1960	강영미	2	1960-08-05	16
55	user055	user055!1978	황승현	1	1978-02-26	11
56	user056	user056!1987	김지민	2	1987-12-10	13
57	user057	user057!1952	이영미	2	1952-07-23	19
58	user058	user058!1971	임정현	2	1971-01-18	22
59	user059	user059!2000	황영호	1	2000-10-05	20
60	user060	user060!1965	박영수	1	1965-09-29	14
61	user061	user061!1984	임승현	1	1984-04-01	5
62	user062	user062!1979	김수빈	2	1979-11-14	25
63	user063	user063!1996	최정민	2	1996-03-27	22
64	user064	user064!1963	정진영	1	1963-06-08	16
65	user065	user065!1981	이영호	1	1981-05-02	23
66	user066	user066!1951	박지영	2	1951-08-12	1
67	user067	user067!1973	김승원	1	1973-12-24	6
68	user068	user068!1990	장지연	2	1990-02-28	15
69	user069	user069!1956	손지원	2	1956-07-07	2
70	user070	user070!1980	김지현	2	1980-01-16	10
71	user071	user071!2005	이영민	1	2005-04-09	4
72	user072	user072!1976	홍지원	2	1976-10-23	9
73	user073	user073!1968	최지호	1	1968-09-15	11
74	user074	user074!1992	임성우	1	1992-11-28	15
75	user075	user075!1953	정지민	1	1953-07-19	2
76	user076	user076!1983	김정민	1	1983-04-04	12
77	user077	user077!1964	이승현	1	1964-12-02	25
78	user078	user078!2001	박지수	2	2001-05-21	6
79	user079	user079!1978	이지영	2	1978-10-16	5
80	user080	user080!1955	김영민	2	1955-03-01	8
81	user081	user081!1986	정지영	2	1986-08-11	24
82	user082	user082!1962	이승우	1	1962-11-27	3
83	user083	user083!1997	최정현	1	1997-07-08	15
84	user084	user084!1972	김성호	1	1972-01-06	21
85	user085	user085!1950	임민지	2	1950-06-16	23
86	user086	user086!1985	송지민	2	1985-04-30	10
87	user087	user087!1975	최영수	1	1975-09-09	23
88	user088	user088!2002	김민수	1	2002-10-19	4
89	user089	user089!1969	이현주	2	1969-12-14	25
90	user090	user090!1988	김지원	2	1988-01-26	6
91	user091	user091!1957	임승호	1	1957-02-21	9
92	user092	user092!2006	최영민	2	2006-03-31	13
93	user093	user093!1974	이지수	2	1974-11-13	5
94	user094	user094!1959	김승민	1	1959-07-30	4
95	user095	user095!1989	이정원	2	1989-10-03	14
96	user096	user096!1967	정수빈	2	1967-09-07	6
97	user097	user097!2003	박정민	1	2003-12-26	25
98	user098	user098!1977	최수빈	2	1977-06-18	7
99	user099	user099!1966	김승우	1	1966-04-02	8
100	user100	user100!1995	임수빈	2	1995-08-22	17
