u_no	u_name	u_id	u_pw	u_sc	u_si	u_situation	e_no	o_no
1	김민준	user1	user1!	8,4	9,12	1	4	1
2	이서윤	user2	user2!	19,1	17,6	1	5	17
3	박지호	user3	user3!	7,3	3,15	1	1	12
4	최하윤	user4	user4!	10,11	2,16	1	2	1
5	정예준	user5	user5!	13,12	1,7	0	3	1
6	강지우	user6	user6!	14,16	14,7	0	4	2
7	조도윤	user7	user7!	2,15	5,12	0	5	8
8	윤수아	user8	user8!	9,18	11,16	1	1	13
9	장하진	user9	user9!	5,17	4,17	0	2	13
10	임시우	user10	user10!	6, 20	16,8	1	3	8
11	김민준	user11	user11!	7,8,9	12	0	4	17
12	이서연	user12	user12!	7,12,10	1	0	5	2
13	박지후	user13	user13!	12,13	7	0	1	11
14	최예린	user14	user14!	5,8	16	0	2	2
15	정하늘	user15	user15!	6,9	6	0	3	3
16	오세훈	user16	user16!	12,20	10	1	4	16
17	한지민	user17	user17!	6,12	18	1	5	11
18	송지호	user18	user18!	18,20	13	0	1	6
19	배수아	user19	user19!	12,16	15	0	2	12
20	윤도현	user20	user20!	6,12	17	1	3	1
